ID,日本語名,英語名,タイプ,国,4軸,次数,接続先（上位5）,定義（100字）,追加接続先（手動入力）
SCS-0028,全国信用情報共有プラットフォーム,National Credit Information Sharing Platform (NCISP),data_system,CN,"官民関係, データフロー, ガバナンス",73,SCS-0055; SCHUFA信用情報機関; 人民銀行信用調査管理局; 信用基礎インフラ建設; 多部門連合懲戒,NDRCが2015年から構築する国家データプラットフォーム。42の中央機関、32の地方政府、50の市場アクターと接続。107億件以上のデータを保有,
SCS-0006,ブラックリスト,Blacklist,mechanism,CN,"インセンティブ設計, データフロー, ガバナンス",51,17万件の管理職就任拒否; 誠信建設制度化推進に関する意見; 連合懲戒抑止効果; 信用修復要件; 親会社-支店間信用関係,重大な信用失墜者のリスト。直接的な法的効果を持つ場合、公表による評判効果を持つ場合、規制当局の裁量判断の要素となる場合がある,
SCS-0001,社会信用システム,Social Credit System (SCS),data_system,CN,"ガバナンス, データフロー, インセンティブ設計, 官民関係",47,国家監視インフラ; 信用基礎インフラ建設; 中国SCS2022年中央集権化; 国家信用管理体系; 中国信用システムのローテク性,信用記録の保持・共有・評価と、報酬・罰則を含む各種インセンティブメカニズムを核とする包括的な信用制度,
SCS-0027,国家監視インフラ,State Surveillance Infrastructure,theory,CN,"データフロー, 官民関係, ガバナンス",43,官民ネクサス; インターネット+監視; 習近平時代のガバナンス再編; 自由基盤プライバシー（米国モデル）; データ監視,国家が支援するビッグデータ監視システムで、政治・経済・社会領域を統治・規制するために利用される。SCSはその典型例,
SCS-0012,芝麻信用,Sesame Credit,data_system,CN,"インセンティブ設計, データフロー, 官民関係",29,官民ネクサス; メディアによるSCSと芝麻信用の混同; 顕名経済; 芝麻信用・貴州省情報共有; プラットフォーム規制裁定,アリババ系列の民間信用調査機関。2015年に中国人民銀行から認可されたパイロット機関の1つだが、基準を満たさず正式ライセンスは取得せず,
SCS-0022,アルゴリズムガバナンス,Algorithm Governance,theory,CN,"ガバナンス, データフロー",23,習近平時代のガバナンス再編; SCSの3大機能; 第三領域（官民流動性）; EU AI規則ソーシャル・スコアリング禁止; ターンキー全体主義批判,ビッグデータとAIに基づく自動意思決定。不透明性、差別、適正手続きの問題を提起,
SCS-0026,中国人民銀行,People's Bank of China (PBOC),actor,CN,"ガバナンス, 官民関係",18,国家発展改革委員会; 人民銀行信用調査管理局; 百行征信; 43都市パイロットプログラム; 芝麻信用,市場信用システムの責任機関。企業・個人の信用報告基本データベースを運営,
SCS-0002,市場信用,Market Credit,theory,CN,"データフロー, 官民関係",13,民営中小企業増信制度; 12315消費者苦情ホットライン; 信用サービス市場; 金融信用建設; 商務誠信建設,経済取引と金融活動に関する信用で、市場主体の経済能力評価に基づく。民間機関が確立し、取引記録と信用評価情報を主な内容とする,
SCS-0007,レッドリスト,Red List,mechanism,CN,インセンティブ設計,13,A級納税者リスト; レッドリスト・ブラックリスト相殺不可; 執行ドラグネット; 誠信建設制度化推進に関する意見; レッドリスト（優良企業リスト）,高い社会信用ポイントまたは特別な栄誉を獲得した個人・団体のリスト。優遇措置の対象となる,
SCS-0050,百行征信,Baihang Credit,actor,CN,"データフロー, 官民関係, ガバナンス",13,8社信用情報パイロット企業; 芝麻信用; SCSの4つの目標; 信用中国ウェブサイト; 全国信用情報共有プラットフォーム,中国初の統一個人信用情報機関。2018年2月に人民銀行からライセンス取得、5月23日正式開業。中国互聯網金融協会（36%）と8社の民間信用機関（各8%）の合弁。テンセント・アリババ等の消費者データを国,
SCS-0086,レッドリスト（優良企業リスト）,Redlist,mechanism,CN,インセンティブ設計,13,A級納税者リスト; レッドリスト・ブラックリスト相殺不可; 執行ドラグネット; 誠信建設制度化推進に関する意見; レッドリストインセンティブ,コンプライアンス良好な企業に経済的インセンティブと公開表彰を付与する仕組み。ブラックリストの対極。,
SCS-0064,個人信用情報,Personal Credit Information,data_system,JP,"データフロー, 官民関係",12,百行征信; 分散型信用情報システム; 8社信用情報パイロット企業; ファイナンスギャップ（中国）; 全国銀行個人信用情報センター,消費者のローン・クレジット・割販申込に対する与信審査で活用される情報。クレジットカード利用履歴、ローン返済状況、延滞情報等を含む。近年は不動産賃貸の家賃保証やPayPay等の決済サービスにも活用が拡大,
SCS-0003,公共信用,Public Credit,theory,CN,"ガバナンス, データフロー, インセンティブ設計",11,国家発展改革委員会; 分類規制; CSCS5カテゴリ評価指標; 信用中国ウェブサイト; 市県一体化公共信用情報共有サービスプラットフォーム,公的機関が確立する信用で、市場主体のアイデンティティ、資格、行政管理、司法情報を主な内容とし、分類規制と連合賞罰を主な規制方法とする,
SCS-0017,信用修復,Credit Repair,mechanism,CN,"ガバナンス, インセンティブ設計",11,信用中国ウェブサイト; 信用修復講座; 信用修復メカニズム; 本人開示制度（日本）; 征信機関との情報共有,事後的な義務履行、延長申請、自己説明、ボランティア活動、慈善寄付などを通じて失われた信用を回復する仕組み,
SCS-0082,企業社会信用システム,Corporate Social Credit System (CSCS),data_system,CN,"データフロー, インセンティブ設計, ガバナンス",11,SCS三サブシステム; コンプライアンスプログラムとしてのCSCS; CSRと社会信用の統合; CSCSの行動変容ポテンシャル; 中国SCS2022年中央集権化,中国の市場規制の根本的転換を示す、企業コンプライアンスデータを集約・活用する全国的規制システム。企業不正や契約詐欺の取り締まりを目的に1990年代後半に構想され、2014年に正式開始。,
SCS-0145,個人信用情報機関,Personal Credit Information Agency (Japan),actor,JP,"データフロー, 官民関係",11,百行征信; 民間主導型信用システム; 分散型信用情報システム; SCS-0146; SCS-0583,個人の信用に関する情報を集積・管理し、加盟金融会社等に提供する日本の機関。クレジットカード利用履歴、ローン返済状況、延滞情報などが登録される。日本には3機関のみ存在：JICC（貸金領域）、CIC（割販,
SCS-0444,社会信用体系建設規画綱要（2014-2020年）,Social Credit System Construction Planning Outline (2014-2020),policy,CN,"データフロー, インセンティブ設計, 官民関係, ガバナンス",10,司法公信; 商務誠信; 信用基礎インフラ建設; 浙江省公的信用評価; 全国信用情報共有プラットフォーム,国務院が2014年6月に公布した中国の社会信用システム構築の基本計画。政務誠信、商務誠信、社会誠信、司法公信の4分野を柱とし、2020年までに全社会をカバーする信用情報システムの構築を目指す。,
SCS-0005,連合懲戒,Joint Punishment,mechanism,CN,"インセンティブ設計, ガバナンス",9,連合懲戒覚書; CSCSによる集団的執行; 暴力団排除条項; 連合懲戒抑止効果; 失信連合懲戒,一箇所での信用失墜が複数の領域・機関にわたる制裁を引き起こすメカニズム。情報共有により、ある機関が懲罰を開始すると他の機関も連動して罰則を適用,
SCS-0154,民間主導型信用システム,Private-Sector-Led Credit System (Japan),mechanism,JP,"官民関係, ガバナンス",9,分散型信用情報システム; SCS-0146; SCS-0583; 全国信用情報共有プラットフォーム; SCS-0523,日本の信用情報システムが政府ではなく業界団体・民間企業主導で発展してきた特徴。JICC・CICは民間企業、KSCは業界団体（全銀協）が運営。中国の政府主導型SCSとの対比で、制度移転における官民役割分,
SCS-0161,政務誠信,Government Affairs Sincerity (Zhengwu Chengxin),policy,CN,ガバナンス,9,社会信用体系建設規画綱要（2014-2020年）; 誠信の4領域; 守信奨励・失信懲戒; 信頼構築ツールとしてのSCS; 誠信文化,SCSの4大領域の筆頭。政府機関の信用構築であり、他の社会主体の信用構築に対する模範・指導的役割を果たす。政府の透明性向上、約束履行、情報公開を含む。,
SCS-0266,社会信用の4カテゴリ,Four Categories of Social Credit,policy,CN,ガバナンス,9,司法公信; 商務誠信; 4領域評価; 誠信の4領域; 2014年綱要,2014年綱要による4分類：商務誠信（企業）、政務誠信（政府）、司法公信（司法）、社会誠信（一般市民）。,
